internal_entity_id,entity_type,provider_name,provider_entity_id,canonical_key,observed_name,mapping_status,mapping_confidence,model_eligible_identity
1ff989a6-8179-5590-af5d-e2bf84274309,team,football-data.co.uk-legacy,F1:Strasbourg,F1:Strasbourg,Strasbourg,PROBABLE,0.65,False
c8a0c413-63d6-57bb-9f4a-9d1c9e041920,team,football-data.co.uk-legacy,F1:Toulouse,F1:Toulouse,Toulouse,PROBABLE,0.65,False
dbf4e892-b085-5392-8c9f-cc5e1ef087d5,team,football-data.co.uk-legacy,F1:Troyes,F1:Troyes,Troyes,PROBABLE,0.65,False
7ab925d7-d393-52ed-9b20-1f3f0673b8e1,team,football-data.co.uk-legacy,F2:Ajaccio,F2:Ajaccio,Ajaccio,PROBABLE,0.65,False
4fe83976-9a9a-5e63-bd47-a4c857e0d530,team,football-data.co.uk-legacy,F2:Ajaccio GFCO,F2:Ajaccio GFCO,Ajaccio GFCO,PROBABLE,0.65,False
b79e3ad1-1699-5873-a829-e9725386d523,team,football-data.co.uk-legacy,F2:Amiens,F2:Amiens,Amiens,PROBABLE,0.65,False
7430b051-c130-5949-ad36-4fc8a3e06482,team,football-data.co.uk-legacy,F2:Angers,F2:Angers,Angers,PROBABLE,0.65,False
9d0d88c6-b94c-57cf-95be-b9c174cecc3b,team,football-data.co.uk-legacy,F2:Annecy,F2:Annecy,Annecy,PROBABLE,0.65,False
70040172-1fca-57d9-b0ed-702696623d25,team,football-data.co.uk-legacy,F2:Auxerre,F2:Auxerre,Auxerre,PROBABLE,0.65,False
04195f89-e2ce-5cf5-9350-380c2613844d,team,football-data.co.uk-legacy,F2:Bastia,F2:Bastia,Bastia,PROBABLE,0.65,False
db722d60-8ef5-55d1-b105-fb196b1ad822,team,football-data.co.uk-legacy,F2:Beziers,F2:Beziers,Beziers,PROBABLE,0.65,False
926c624c-2332-5d40-927d-3f69d0ecf556,team,football-data.co.uk-legacy,F2:Bordeaux,F2:Bordeaux,Bordeaux,PROBABLE,0.65,False
a9d6d61a-5e2d-5453-b88e-d579bd38e1c4,team,football-data.co.uk-legacy,F2:Boulogne,F2:Boulogne,Boulogne,PROBABLE,0.65,False
9f3bc7be-896a-576f-863a-c4dc65b1e698,team,football-data.co.uk-legacy,F2:Bourg Peronnas,F2:Bourg Peronnas,Bourg Peronnas,PROBABLE,0.65,False
b04d6ea5-f16e-5c42-affa-158da3124fb6,team,football-data.co.uk-legacy,F2:Brest,F2:Brest,Brest,PROBABLE,0.65,False
abac6691-8ee5-50b0-98bc-31b442361bae,team,football-data.co.uk-legacy,F2:Caen,F2:Caen,Caen,PROBABLE,0.65,False
2c0dc7dc-3a33-5c06-99b5-7833e2f69d27,team,football-data.co.uk-legacy,F2:Chambly,F2:Chambly,Chambly,PROBABLE,0.65,False
0bb38008-0690-5f4c-91e4-f71fc20b55af,team,football-data.co.uk-legacy,F2:Chateauroux,F2:Chateauroux,Chateauroux,PROBABLE,0.65,False
d1f80b57-2276-586e-8aea-f6ecba4c00cf,team,football-data.co.uk-legacy,F2:Clermont,F2:Clermont,Clermont,PROBABLE,0.65,False
ba8825e3-fc11-599a-ba2f-e5ad133dc6e8,team,football-data.co.uk-legacy,F2:Concarneau,F2:Concarneau,Concarneau,PROBABLE,0.65,False
b1d8d6ce-5849-5332-8d7c-7f152d3fe14c,team,football-data.co.uk-legacy,F2:Creteil,F2:Creteil,Creteil,PROBABLE,0.65,False
c279dbb9-6309-5563-9903-8103bbdf0910,team,football-data.co.uk-legacy,F2:Dijon,F2:Dijon,Dijon,PROBABLE,0.65,False
