marche,etage,n,obs,ref,delta,roi,roi_lo,roi_hi,ic_lo,ic_hi,z,p,saisons_pos,saisons_tot,pct_cloture,statut,id,nom,fdr,verdict
BTTS_Y,1,7720,0.5512953367875648,0.5346706901791984,0.016624646608366378,,,,0.540177744109527,0.562361904036546,2.9408646498649595,0.003272975134948286,6.0,8.0,,,S070,H2H BTTS,True,SIGNAL_E1
U25,2,5408,0.5336538461538461,0.5319509200275678,0.0017029261262783146,-0.025610207100591722,-0.05072440955295833,-0.0004960046482251138,0.5203386326012253,0.546921281288346,0.2548472873545089,0.7988410507445411,4.0,6.0,1.0,,S071,H2H Under,False,BRUIT
O35,1,5724,0.3473095737246681,0.3229497084347059,0.0243598652899622,,,,0.3350812867022791,0.35974267630675383,3.9810591639191295,6.860886809945121e-05,9.0,10.0,,,S073,Scoring fou,True,SIGNAL_E1
O25,2,3487,0.5672497849154,0.5708089132285736,-0.0035591283131736207,-0.04352451964439345,-0.07227255896896839,-0.014776480319818507,0.5507395854141214,0.583611970382624,-0.433257332668828,0.6648278316213032,3.0,6.0,0.9997132205334098,,S073,Scoring fou,False,BRUIT
U15,1,3675,0.27564625850340135,0.272599725840154,0.0030465326632473366,,,,0.26143914501383225,0.29032193108142557,0.4170859939149871,0.6766155091871793,5.0,10.0,,,S074,Matchs fermes,False,BRUIT
U25,2,2191,0.5371976266544957,0.5444003971942447,-0.007202770539749048,-0.04446371519853948,-0.0827296192187055,-0.0061978111783734455,0.5162721780743356,0.5579928622821075,-0.6875902073494214,0.4917108766671263,2.0,6.0,0.9995435874030123,,S074,Matchs fermes,False,BRUIT
O15_MT1,1,7894,0.3526729161388396,0.3537998678063728,-0.0011269516675331825,,,,0.3422065376009582,0.3632826178158838,-0.21050089321164495,0.833276754596955,6.0,10.0,,,S075,MT1 prolifiques,False,BRUIT
U05_MT1,1,5744,0.3177228412256267,0.31445604746037686,0.0032667937652498535,,,,0.3058073263933597,0.3298820078429908,0.5351072221468841,0.5925757161661083,4.0,10.0,,,S076,MT1 fermees,False,BRUIT
WIN_SELF,2,528,0.6363636363636364,0.639990415222957,-0.003626778859320612,-0.05867424242424243,-0.12663728357829537,0.009288798729810512,0.5944829911085853,0.6762743170824249,-0.18781076636265875,0.85102499561885,3.0,10.0,1.0,,S077,Course au titre/montee,False,BRUIT
WIN_SELF,2,51,0.2549019607843137,0.3060531655676725,-0.05115120478335877,-0.20705882352941174,-0.713264462552732,0.29914681549390854,0.1554562324126639,0.38868544106148706,-0.8504827867253175,0.3950567264970739,1.0,1.0,1.0,,S078,Survie en forme,False,BRUIT
DC_SELF,2*,51,0.5098039215686274,0.5636598103317152,-0.05385588876308778,,,,0.37680695448409596,0.641427378576938,-0.8386952081699465,0.4016403680030145,1.0,1.0,1.0,,S078,Survie en forme,False,BRUIT
WIN_ADV,2,385,0.6077922077922078,0.5873250389204325,0.020467168871775243,0.00903896103896103,-0.08449984161053802,0.10257776368846007,0.5581861288620945,0.6552683986370208,0.8733331537061944,0.3824815147250933,7.0,10.0,1.0,,S079,Relegue demobilise (duel S081),False,BRUIT
WIN_ADV,2,659,0.44916540212443096,0.4701659804394934,-0.021000578315062468,-0.07749620637329288,-0.1734255369088048,0.01843312416221904,0.41159152288319995,0.4873285207592027,-1.1755743989582863,0.23976499081761027,4.0,10.0,1.0,,S080,Maintien assure recent,False,BRUIT
WIN_SELF,2,14,0.14285714285714285,0.18861777339889857,-0.04576063054175572,-0.6142857142857142,-1.1376610671635508,-0.09091036140787767,0.040093073737921175,0.39941907763863693,-0.4642993166601374,0.6424333135033793,0.0,0.0,1.0,,S081,Relegue libere (duel S079),False,N_TROP_FAIBLE
DC_SELF,2*,14,0.35714285714285715,0.3819340553753262,-0.02479119823246906,,,,0.16344490737202735,0.6123599531785959,-0.2085706882879041,0.8347833946641683,0.0,0.0,1.0,,S081,Relegue libere (duel S079),False,N_TROP_FAIBLE
WIN_SELF,2,2643,0.3257661748013621,0.3383171364285877,-0.012550961627225576,-0.09261066969353007,-0.15625236561399103,-0.028968973773069118,0.30816265576254004,0.3438754563783602,-1.4507809144312296,0.14684087580333616,1.0,10.0,1.0,,S082,Reprise de forme,False,BRUIT
DC_SELF,2*,2643,0.6065077563374953,0.6000503388054873,0.006457417532008014,,,,0.5877411591925884,0.6249651848515737,0.7277917289183791,0.4667410884084551,6.0,10.0,1.0,,S082,Reprise de forme,False,BRUIT
WIN_ADV,2,1092,0.576007326007326,0.5832751911204944,-0.007267865113168459,-0.05441391941391942,-0.10801632408909942,-0.0008115147387394092,0.5464795903880233,0.6050021566089878,-0.52263898922546,0.6012255027137647,5.0,10.0,1.0,,S083,Faible contre le haut,False,BRUIT
TEAM_U15_SELF,1,1093,0.7520585544373285,0.6024319670456061,0.1496265873917224,,,,0.7256049883148281,0.7767464906954502,10.202079706609647,0.0,10.0,10.0,,,S083,Faible contre le haut,True,SIGNAL_E1
WIN_SELF,2,1920,0.6458333333333334,0.6455208048964425,0.00031252843689089094,-0.03133854166666667,-0.06727961845446696,0.004602535121133622,0.6241686202585126,0.6669156353267707,0.03073452656114073,0.9754812559470958,5.0,10.0,1.0,,S089,Domine les faibles,False,BRUIT
TEAM_O15_SELF,1,1921,0.6095783446121812,0.3935453706175054,0.2160329739946758,,,,0.5875643831798388,0.6311549129949737,19.566240877659148,0.0,10.0,10.0,,,S089,Domine les faibles,True,SIGNAL_E1
WIN_SELF,2,5169,0.4644999032694912,0.47140490571030114,-0.0069050024408099375,-0.06323660282453086,-0.09956477208015119,-0.026908433568910532,0.45093484558826236,0.4781176890959623,-1.1059064500387858,0.2687670127347179,4.0,10.0,1.0,,S091,Apres victoire large,False,BRUIT
DC_SELF,2*,5169,0.702070032888373,0.7043450648969112,-0.0022750320085381803,,,,0.6894555977242023,0.7143843342775817,-0.3945667446136672,0.6931626602297731,4.0,10.0,1.0,,S091,Apres victoire large,False,BRUIT
-,-,0,,,,,,,,,,,,,,NON_EVALUE (xG absent),S011,Surperformance xG,False,NON_EVALUE (xG absent)
-,-,0,,,,,,,,,,,,,,NON_EVALUE (xG absent),S012,Sous-performance xG,False,NON_EVALUE (xG absent)
-,-,0,,,,,,,,,,,,,,NON_EVALUE (xG absent),S013,Forte diff xG/xGA,False,NON_EVALUE (xG absent)
-,-,0,,,,,,,,,,,,,,NON_EVALUE (xG absent),S014,Diff xG/xGA negative,False,NON_EVALUE (xG absent)
-,-,0,,,,,,,,,,,,,,NON_EVALUE (xG absent),S015,"xG eleve, finition froide",False,NON_EVALUE (xG absent)
-,-,0,,,,,,,,,,,,,,NON_EVALUE (xG absent),S016,Fade la surchauffe,False,NON_EVALUE (xG absent)
-,-,0,,,,,,,,,,,,,,NON_EVALUE (xG absent),S017,xG en hausse,False,NON_EVALUE (xG absent)
-,-,0,,,,,,,,,,,,,,NON_EVALUE (xG absent),S018,xG en chute + xGA en hausse,False,NON_EVALUE (xG absent)
-,-,0,,,,,,,,,,,,,,NON_EVALUE (xG absent),S019,Verrou qui se ferme,False,NON_EVALUE (xG absent)
WIN_SELF,2,561,0.38146167557932265,0.4179969774255411,-0.03653530184621845,-0.1064705882352941,-0.2242912374632731,0.011350060992684902,0.3422006380598994,0.4223351185132709,-1.8738589156637437,0.06094987343399305,2.0,10.0,1.0,,S021,Apres victoire surprise,False,BRUIT
DC_SELF,2*,561,0.6809269162210339,0.6790897906523661,0.0018371255686677745,,,,0.6412362910063807,0.7181565015924647,0.099258643715828,0.9209329137406197,5.0,10.0,1.0,,S021,Apres victoire surprise,False,BRUIT
-,-,0,,,,,,,,,,,,,,NON_EVALUE (xG absent),S025,Fragilite croissante,False,NON_EVALUE (xG absent)
-,-,0,,,,,,,,,,,,,,NON_EVALUE (xG absent),S026,xG eleve et stable,False,NON_EVALUE (xG absent)
-,-,0,,,,,,,,,,,,,,NON_EVALUE (xG absent),S063,"Libere sans enjeu, xG haut",False,NON_EVALUE (xG absent)
-,-,0,,,,,,,,,,,,,,NON_EVALUE (xG absent),S064,"Sans enjeu, defense qui lache",False,NON_EVALUE (xG absent)
