provider,competition,season,column,rows,zeros,missing,non_zero,zero_rate,min_value,median_value,max_value,artificial_probability,quality_status,impact
football-data.co.uk,I1,2023-24,htag,380,230,0,150,0.6052631578947368,0.0,0.0,3.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2023-24,hy,380,45,0,335,0.11842105263157894,0.0,2.0,7.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2023-24,ay,380,18,0,362,0.04736842105263158,0.0,2.0,7.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2023-24,hr,380,351,0,29,0.9236842105263158,0.0,0.0,3.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2023-24,ar,380,348,0,32,0.9157894736842105,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2023-24,hc,380,7,0,373,0.018421052631578946,0.0,5.0,18.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2023-24,ac,380,15,0,365,0.039473684210526314,0.0,4.0,13.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2024-25,hthg,380,215,0,165,0.5657894736842105,0.0,0.0,5.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2024-25,htag,380,216,0,164,0.5684210526315789,0.0,0.0,5.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2024-25,hy,380,68,0,312,0.17894736842105263,0.0,2.0,6.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2024-25,ay,380,40,0,340,0.10526315789473684,0.0,2.0,8.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2024-25,hr,380,344,0,36,0.9052631578947369,0.0,0.0,1.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2024-25,ar,380,343,0,37,0.9026315789473685,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2024-25,hc,380,4,0,376,0.010526315789473684,0.0,5.0,16.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2024-25,ac,380,16,0,364,0.042105263157894736,0.0,4.0,13.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2025-26,hthg,380,226,0,154,0.5947368421052631,0.0,0.0,3.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2025-26,htag,380,227,0,153,0.5973684210526315,0.0,0.0,3.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2025-26,hy,380,58,0,322,0.15263157894736842,0.0,2.0,6.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2025-26,ay,380,46,0,334,0.12105263157894737,0.0,2.0,7.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2025-26,hr,380,352,0,28,0.9263157894736842,0.0,0.0,3.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2025-26,ar,380,346,0,34,0.9105263157894737,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2025-26,hc,380,1,0,379,0.002631578947368421,0.0,5.0,15.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,I1,2025-26,ac,380,13,0,367,0.034210526315789476,0.0,4.0,18.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2015-16,hthg,306,153,0,153,0.5,0.0,0.5,4.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2015-16,htag,306,171,0,135,0.5588235294117647,0.0,0.0,5.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2015-16,hy,306,306,0,0,1.0,0.0,0.0,0.0,0.99,SUSPECT_ZERO,exclure des features et modèles concernés
football-data.co.uk,N1,2015-16,ay,306,306,0,0,1.0,0.0,0.0,0.0,0.99,SUSPECT_ZERO,exclure des features et modèles concernés
football-data.co.uk,N1,2015-16,hr,306,306,0,0,1.0,0.0,0.0,0.0,0.75,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2015-16,ar,306,306,0,0,1.0,0.0,0.0,0.0,0.75,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2015-16,hc,306,306,0,0,1.0,0.0,0.0,0.0,0.99,SUSPECT_ZERO,exclure des features et modèles concernés
football-data.co.uk,N1,2015-16,ac,306,306,0,0,1.0,0.0,0.0,0.0,0.99,SUSPECT_ZERO,exclure des features et modèles concernés
football-data.co.uk,N1,2016-17,hthg,306,148,0,158,0.48366013071895425,0.0,1.0,5.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2016-17,htag,306,184,0,122,0.6013071895424836,0.0,0.0,4.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2016-17,hy,306,306,0,0,1.0,0.0,0.0,0.0,0.99,SUSPECT_ZERO,exclure des features et modèles concernés
football-data.co.uk,N1,2016-17,ay,306,306,0,0,1.0,0.0,0.0,0.0,0.99,SUSPECT_ZERO,exclure des features et modèles concernés
football-data.co.uk,N1,2016-17,hr,306,306,0,0,1.0,0.0,0.0,0.0,0.75,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2016-17,ar,306,306,0,0,1.0,0.0,0.0,0.0,0.75,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2016-17,hc,306,306,0,0,1.0,0.0,0.0,0.0,0.99,SUSPECT_ZERO,exclure des features et modèles concernés
football-data.co.uk,N1,2016-17,ac,306,306,0,0,1.0,0.0,0.0,0.0,0.99,SUSPECT_ZERO,exclure des features et modèles concernés
football-data.co.uk,N1,2017-18,hthg,306,139,0,167,0.4542483660130719,0.0,1.0,4.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2017-18,htag,306,160,0,146,0.5228758169934641,0.0,0.0,5.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2017-18,hy,306,83,0,223,0.27124183006535946,0.0,1.0,6.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2017-18,ay,306,50,0,256,0.16339869281045752,0.0,2.0,5.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2017-18,hr,306,288,0,18,0.9411764705882353,0.0,0.0,1.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2017-18,ar,306,279,0,27,0.9117647058823529,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2017-18,hc,306,1,0,305,0.0032679738562091504,0.0,5.0,26.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2017-18,ac,306,9,0,297,0.029411764705882353,0.0,4.0,16.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2018-19,hthg,306,120,0,186,0.39215686274509803,0.0,1.0,4.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2018-19,htag,306,166,0,140,0.5424836601307189,0.0,0.0,4.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2018-19,hy,306,84,0,222,0.27450980392156865,0.0,1.0,5.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2018-19,ay,306,66,0,240,0.21568627450980393,0.0,2.0,5.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2018-19,hr,306,281,0,25,0.9183006535947712,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2018-19,ar,306,271,0,35,0.8856209150326797,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2018-19,hc,306,4,0,302,0.013071895424836602,0.0,6.0,23.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2018-19,ac,306,8,0,298,0.026143790849673203,0.0,4.0,15.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2019-20,hthg,232,108,0,124,0.46551724137931033,0.0,1.0,4.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2019-20,htag,232,136,0,96,0.5862068965517241,0.0,0.0,3.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2019-20,hy,232,52,0,180,0.22413793103448276,0.0,1.0,5.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2019-20,ay,232,37,0,195,0.15948275862068967,0.0,2.0,7.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2019-20,hr,232,216,0,16,0.9310344827586207,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2019-20,ar,232,206,0,26,0.8879310344827587,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2019-20,hc,232,3,0,229,0.01293103448275862,0.0,5.0,15.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2019-20,ac,232,9,0,223,0.03879310344827586,0.0,4.0,13.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2020-21,hthg,306,160,0,146,0.5228758169934641,0.0,0.0,4.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2020-21,htag,306,178,0,128,0.5816993464052288,0.0,0.0,4.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2020-21,hy,306,83,0,223,0.27124183006535946,0.0,1.0,7.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2020-21,ay,306,78,0,228,0.2549019607843137,0.0,1.0,6.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2020-21,hr,306,281,0,25,0.9183006535947712,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2020-21,ar,306,272,0,34,0.8888888888888888,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2020-21,hc,306,9,0,297,0.029411764705882353,0.0,5.0,17.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2020-21,ac,306,10,0,296,0.032679738562091505,0.0,4.0,17.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2021-22,hthg,306,153,0,153,0.5,0.0,0.5,5.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,N1,2021-22,htag,306,158,0,148,0.5163398692810458,0.0,0.0,3.0,0.05,OBSERVED,aucun verrou automatique
